"time","root.devdb.i483.sensors.s2510030.SCD41.humidity response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.avg response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.max response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.min response"
2025-06-05 14:21:38,,,,73.1
2025-06-05 14:21:42,73.2,,,
2025-06-05 14:21:58,73.1,,,
2025-06-05 14:22:13,73.2,,,
2025-06-05 14:22:13,,73.2,,
2025-06-05 14:22:16,,,73.4,
2025-06-05 14:22:17,,,,73.1
2025-06-05 14:22:28,73.1,,,
2025-06-05 14:22:43,73.1,,,
2025-06-05 14:22:58,73.1,,,
2025-06-05 14:23:05,,73.2,,
2025-06-05 14:23:06,,,73.3,
2025-06-05 14:23:08,,,,73.1
2025-06-05 14:23:14,73.1,,,
2025-06-05 14:23:29,73.1,,,
2025-06-05 14:23:43,,73.2,,
2025-06-05 14:23:44,73.1,,,
2025-06-05 14:23:44,,,73.3,
2025-06-05 14:23:47,,,,73.1
2025-06-05 14:23:59,73.1,,,
2025-06-05 14:24:15,73.1,,,
2025-06-05 14:24:17,,73.2,,
2025-06-05 14:24:18,,,73.3,
2025-06-05 14:24:20,,,,73.1
2025-06-05 14:24:30,73.1,,,
2025-06-05 14:24:45,73.2,,,
2025-06-05 14:24:55,,73.2,,
2025-06-05 14:24:57,,,73.3,
2025-06-05 14:24:58,,,,73.1
2025-06-05 14:25:00,73.1,,,
2025-06-05 14:25:15,73.1,,,
2025-06-05 14:25:31,73.1,,,
2025-06-05 14:25:44,,73.2,,
2025-06-05 14:25:46,73.2,,,
2025-06-05 14:25:47,,,73.3,
2025-06-05 14:25:48,,,,73.1
2025-06-05 14:26:01,73.3,,,
2025-06-05 14:26:16,73.3,,,
2025-06-05 14:26:18,,73.2,,
2025-06-05 14:26:21,,,73.3,
2025-06-05 14:26:23,,,,73.1
2025-06-05 14:26:32,73.3,,,
2025-06-05 14:26:47,73.3,,,
2025-06-05 14:26:52,,73.1,,
2025-06-05 14:26:54,,,73.3,
2025-06-05 14:26:56,,,,73.1
2025-06-05 14:27:02,73.2,,,
2025-06-05 14:27:17,73.1,,,
2025-06-05 14:27:30,,73.1,,
2025-06-05 14:27:32,,,73.2,
2025-06-05 14:27:32,73.2,,,
2025-06-05 14:27:34,,,,73.1
2025-06-05 14:27:48,73.2,,,
2025-06-05 14:28:03,73.2,,,
2025-06-05 14:28:17,,73.1,,
2025-06-05 14:28:18,73.2,,,
2025-06-05 14:28:18,,,73.3,
2025-06-05 14:28:20,,,,73.1
2025-06-05 14:28:33,73.2,,,
2025-06-05 14:28:49,73.1,,,
2025-06-05 14:28:51,,73.2,,
2025-06-05 14:28:53,,,73.3,
2025-06-05 14:28:56,,,,73.1
2025-06-05 14:29:04,73.0,,,
2025-06-05 14:29:19,73.0,,,
2025-06-05 14:29:26,,73.2,,
2025-06-05 14:29:29,,,73.3,
2025-06-05 14:29:30,,,,73.1
2025-06-05 14:29:34,73.0,,,
2025-06-05 14:29:49,73.1,,,
2025-06-05 14:30:05,73.1,,,
2025-06-05 14:30:07,,73.2,,
2025-06-05 14:30:10,,,73.3,
2025-06-05 14:30:11,,,,73.1
2025-06-05 14:30:20,73.2,,,
2025-06-05 14:30:35,73.2,,,
2025-06-05 14:30:50,73.2,,,
2025-06-05 14:30:58,,73.2,,
2025-06-05 14:31:00,,,73.3,
2025-06-05 14:31:01,,,,73.1
2025-06-05 14:31:06,73.2,,,
2025-06-05 14:31:21,73.2,,,
2025-06-05 14:31:36,73.1,,,
2025-06-05 14:31:42,,73.1,,
2025-06-05 14:31:43,,,73.3,
2025-06-05 14:31:46,,,,73.0
2025-06-05 14:31:51,73.1,,,
2025-06-05 14:32:06,73.1,,,
2025-06-05 14:32:22,73.1,,,
2025-06-05 14:32:29,,73.1,,
2025-06-05 14:32:31,,,73.3,
2025-06-05 14:32:33,,,,73.0
2025-06-05 14:32:37,73.1,,,
2025-06-05 14:32:52,73.1,,,
2025-06-05 14:33:07,73.1,,,
2025-06-05 14:33:22,73.2,,,
2025-06-05 14:33:24,,73.2,,
2025-06-05 14:33:27,,,73.3,
2025-06-05 14:33:30,,,,73.0
2025-06-05 14:33:38,73.1,,,
2025-06-05 14:33:53,73.1,,,
2025-06-05 14:34:08,73.0,,,
2025-06-05 14:34:08,,73.2,,
2025-06-05 14:34:11,,,73.3,
2025-06-05 14:34:13,,,,73.0
2025-06-05 14:34:23,73.0,,,
2025-06-05 14:34:39,73.1,,,
2025-06-05 14:34:54,73.0,,,
2025-06-05 14:34:55,,73.2,,
2025-06-05 14:34:58,,,73.3,
2025-06-05 14:34:59,,,,73.0
2025-06-05 14:35:09,72.9,,,
2025-06-05 14:35:24,72.9,,,
2025-06-05 14:35:39,73.0,,,
2025-06-05 14:35:47,,73.1,,
2025-06-05 14:35:49,,,73.3,
2025-06-05 14:35:51,,,,73.0
2025-06-05 14:35:55,73.0,,,
2025-06-05 14:36:10,73.0,,,
2025-06-05 14:36:25,73.0,,,
2025-06-05 14:36:40,73.0,,,
2025-06-05 14:36:46,,73.1,,
2025-06-05 14:36:47,,,73.2,
2025-06-05 14:36:49,,,,73.0
2025-06-05 14:36:56,72.9,,,
2025-06-05 14:37:11,72.9,,,
2025-06-05 14:37:26,72.9,,,
2025-06-05 14:37:29,,73.1,,
2025-06-05 14:37:32,,,73.2,
2025-06-05 14:37:35,,,,73.0
2025-06-05 14:37:41,72.9,,,
2025-06-05 14:37:56,72.9,,,
2025-06-05 14:38:12,72.9,,,
2025-06-05 14:38:14,,73.1,,
2025-06-05 14:38:17,,,73.2,
2025-06-05 14:38:18,,,,72.9
2025-06-05 14:38:27,72.9,,,
2025-06-05 14:38:42,72.8,,,
2025-06-05 14:38:57,72.9,,,
2025-06-05 14:39:07,,73.1,,
2025-06-05 14:39:10,,,73.2,
2025-06-05 14:39:13,72.9,,,
2025-06-05 14:39:13,,,,72.9
2025-06-05 14:39:28,72.8,,,
2025-06-05 14:39:43,72.8,,,
2025-06-05 14:39:53,,73.1,,
2025-06-05 14:39:56,,,73.2,
2025-06-05 14:39:58,,,,72.9
2025-06-05 14:39:58,72.8,,,
2025-06-05 14:40:13,72.8,,,
2025-06-05 14:40:29,72.8,,,
2025-06-05 14:40:44,72.8,,,
2025-06-05 14:40:52,,73.0,,
2025-06-05 14:40:54,,,73.2,
2025-06-05 14:40:57,,,,72.9
2025-06-05 14:40:59,72.7,,,
2025-06-05 14:41:14,72.7,,,
2025-06-05 14:41:30,72.8,,,
2025-06-05 14:41:37,,73.0,,
2025-06-05 14:41:40,,,73.2,
2025-06-05 14:41:41,,,,72.9
2025-06-05 14:41:45,72.7,,,
2025-06-05 14:42:00,72.8,,,
2025-06-05 14:42:15,72.7,,,
2025-06-05 14:42:25,,73.0,,
2025-06-05 14:42:28,,,73.2,
2025-06-05 14:42:30,,,,72.8
2025-06-05 14:42:30,72.7,,,
2025-06-05 14:42:46,72.6,,,
2025-06-05 14:43:01,72.6,,,
2025-06-05 14:43:16,72.7,,,
2025-06-05 14:43:25,,73.0,,
2025-06-05 14:43:27,,,73.2,
2025-06-05 14:43:29,,,,72.8
2025-06-05 14:43:31,72.6,,,
2025-06-05 14:43:46,72.6,,,
2025-06-05 14:44:02,72.6,,,
2025-06-05 14:44:07,,72.9,,
2025-06-05 14:44:10,,,73.2,
2025-06-05 14:44:11,,,,72.7
2025-06-05 14:44:17,72.6,,,
2025-06-05 14:44:32,72.6,,,
2025-06-05 14:44:47,72.6,,,
2025-06-05 14:44:56,,72.9,,
2025-06-05 14:44:59,,,73.1,
2025-06-05 14:45:00,,,,72.7
2025-06-05 14:45:03,72.6,,,
2025-06-05 14:45:18,72.7,,,
2025-06-05 14:45:33,72.5,,,
2025-06-05 14:45:43,,72.9,,
2025-06-05 14:45:46,,,73.1,
2025-06-05 14:45:47,,,,72.7
2025-06-05 14:45:48,72.6,,,
2025-06-05 14:46:03,72.6,,,
2025-06-05 14:46:19,72.6,,,
2025-06-05 14:46:31,,72.8,,
2025-06-05 14:46:34,,,73.0,
2025-06-05 14:46:34,72.5,,,
2025-06-05 14:46:35,,,,72.6
2025-06-05 14:46:49,72.5,,,
2025-06-05 14:47:04,72.5,,,
2025-06-05 14:47:20,72.6,,,
2025-06-05 14:47:26,,72.8,,
2025-06-05 14:47:29,,,73.0,
2025-06-05 14:47:32,,,,72.6
2025-06-05 14:47:35,72.6,,,
2025-06-05 14:47:50,72.5,,,
2025-06-05 14:48:05,72.5,,,
2025-06-05 14:48:09,,72.8,,
2025-06-05 14:48:11,,,72.9,
2025-06-05 14:48:13,,,,72.6
2025-06-05 14:48:20,72.5,,,
2025-06-05 14:48:36,72.5,,,
2025-06-05 14:48:51,72.6,,,
2025-06-05 14:49:01,,72.7,,
2025-06-05 14:49:04,,,72.9,
2025-06-05 14:49:05,,,,72.5
2025-06-05 14:49:06,72.6,,,
2025-06-05 14:49:21,72.6,,,
2025-06-05 14:49:37,72.6,,,
2025-06-05 14:49:52,72.6,,,
2025-06-05 14:49:54,,72.7,,
2025-06-05 14:49:58,,,72.9,
2025-06-05 14:49:59,,,,72.5
2025-06-05 14:50:07,72.6,,,
2025-06-05 14:50:22,72.7,,,
2025-06-05 14:50:37,72.6,,,
2025-06-05 14:50:53,72.4,,,
2025-06-05 14:50:59,,72.7,,
2025-06-05 14:51:00,,,72.8,
2025-06-05 14:51:02,,,,72.5
2025-06-05 14:51:08,72.5,,,
2025-06-05 14:51:23,72.5,,,
2025-06-05 14:51:38,72.6,,,
2025-06-05 14:51:54,72.6,,,
2025-06-05 14:51:54,,72.6,,
2025-06-05 14:51:56,,,72.8,
2025-06-05 14:51:57,,,,72.5
2025-06-05 14:52:09,72.5,,,
2025-06-05 14:52:24,72.5,,,
2025-06-05 14:52:39,72.5,,,
2025-06-05 14:52:53,,72.6,,
2025-06-05 14:52:54,72.5,,,
2025-06-05 14:52:56,,,72.8,
2025-06-05 14:52:58,,,,72.5
2025-06-05 14:53:10,72.6,,,
2025-06-05 14:53:25,72.6,,,
2025-06-05 14:53:39,,72.6,,
2025-06-05 14:53:40,72.6,,,
2025-06-05 14:53:40,,,72.8,
2025-06-05 14:53:42,,,,72.5
2025-06-05 14:53:55,72.6,,,
2025-06-05 14:54:10,72.6,,,
2025-06-05 14:54:26,72.5,,,
2025-06-05 14:54:29,,72.6,,
2025-06-05 14:54:32,,,72.7,
2025-06-05 14:54:33,,,,72.4
2025-06-05 14:54:41,72.6,,,
2025-06-05 14:54:56,72.6,,,
2025-06-05 14:55:11,72.6,,,
2025-06-05 14:55:27,72.6,,,
2025-06-05 14:55:28,,72.6,,
2025-06-05 14:55:31,,,72.7,
2025-06-05 14:55:34,,,,72.4
2025-06-05 14:55:42,72.6,,,
2025-06-05 14:55:57,72.6,,,
2025-06-05 14:56:10,,72.6,,
2025-06-05 14:56:12,72.5,,,
2025-06-05 14:56:13,,,72.7,
2025-06-05 14:56:15,,,,72.4
2025-06-05 14:56:27,72.4,,,
2025-06-05 14:56:43,72.4,,,
2025-06-05 14:56:58,72.4,,,
2025-06-05 14:57:08,,72.5,,
2025-06-05 14:57:10,,,72.7,
2025-06-05 14:57:13,72.4,,,
2025-06-05 14:57:13,,,,72.4
2025-06-05 14:57:28,72.4,,,
2025-06-05 14:57:44,72.4,,,
2025-06-05 14:57:49,,72.5,,
2025-06-05 14:57:52,,,72.7,
2025-06-05 14:57:53,,,,72.4
2025-06-05 14:57:59,72.4,,,
2025-06-05 14:58:14,72.4,,,
2025-06-05 14:58:29,72.4,,,
2025-06-05 14:58:40,,72.5,,
2025-06-05 14:58:42,,,72.7,
2025-06-05 14:58:44,72.4,,,
2025-06-05 14:58:45,,,,72.4
2025-06-05 14:59:00,72.3,,,
2025-06-05 14:59:15,72.2,,,
2025-06-05 14:59:30,72.3,,,
2025-06-05 14:59:35,,72.5,,
